Retailer,Adidas Sales Database Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Total Sales,Operating Profit,Operating Margin,Sales Method,Units Sold Cleaned,Total Sales norm,Operating Profit norm,State - City,State_grouped,Month
Walmart,"1197831,00",2020-08-15,South,Texas,Houston,Women's Athletic Footwear,"40,00","280,00","126,00","0,45",Outlet,"7,00","0,70","0,78",Texas - Houston,Texas,August
Walmart,"1197831,00",2020-08-16,South,Texas,Houston,Men's Apparel,"45,00","270,00","81,00","0,30",Outlet,"6,00","0,68","0,50",Texas - Houston,Texas,August
Walmart,"1197831,00",2020-08-22,South,Texas,Houston,Men's Apparel,"45,00","292,50","87,80","0,30",Outlet,"6,50","0,73","0,54",Texas - Houston,Texas,August
Walmart,"1197831,00",2020-08-27,South,Texas,Houston,Women's Athletic Footwear,"40,00","280,00","126,00","0,45",Outlet,"7,00","0,70","0,78",Texas - Houston,Texas,August
Walmart,"1197831,00",2020-08-28,South,Texas,Houston,Men's Apparel,"45,00","315,00","94,50","0,30",Outlet,"7,00","0,79","0,58",Texas - Houston,Texas,August
Walmart,"1197831,00",2020-09-02,South,Texas,Houston,Women's Athletic Footwear,"40,00","260,00","117,00","0,45",Outlet,"6,50","0,65","0,72",Texas - Houston,Texas,September
Walmart,"1197831,00",2020-09-03,South,Texas,Houston,Men's Apparel,"45,00","292,50","87,80","0,30",Outlet,"6,50","0,73","0,54",Texas - Houston,Texas,September
Walmart,"1197831,00",2020-09-08,South,Texas,Houston,Women's Athletic Footwear,"50,00","312,50","140,60","0,45",Outlet,"6,25","0,78","0,87",Texas - Houston,Texas,September
Walmart,"1197831,00",2020-09-09,South,Texas,Houston,Men's Apparel,"45,00","281,20","84,40","0,30",Outlet,"6,25","0,71","0,52",Texas - Houston,Texas,September
Walmart,"1197831,00",2020-09-14,South,Texas,Houston,Women's Athletic Footwear,"50,00","300,00","135,00","0,45",Outlet,"6,00","0,75","0,83",Texas - Houston,Texas,September
Walmart,"1197831,00",2020-09-15,South,Texas,Houston,Men's Apparel,"45,00","258,80","77,60","0,30",Outlet,"5,75","0,65","0,48",Texas - Houston,Texas,September
Walmart,"1197831,00",2020-10-23,South,Texas,Houston,Women's Athletic Footwear,"50,00","337,50","151,90","0,45",Outlet,"6,75","0,85","0,93",Texas - Houston,Texas,October
Walmart,"1197831,00",2020-10-24,South,Texas,Houston,Men's Apparel,"45,00","292,50","87,80","0,30",Outlet,"6,50","0,73","0,54",Texas - Houston,Texas,October
Walmart,"1197831,00",2020-10-29,South,Texas,Houston,Women's Athletic Footwear,"50,00","350,00","157,50","0,45",Outlet,"7,00","0,88","0,97",Texas - Houston,Texas,October
Walmart,"1197831,00",2020-10-30,South,Texas,Houston,Men's Apparel,"45,00","292,50","87,80","0,30",Outlet,"6,50","0,73","0,54",Texas - Houston,Texas,October
West Gear,"1128299,00",2020-11-04,South,Texas,Houston,Women's Athletic Footwear,"50,00","312,50","93,80","0,30",Outlet,"6,25","0,78","0,58",Texas - Houston,Texas,November
West Gear,"1128299,00",2020-11-05,West,California,San Francisco,Men's Apparel,"55,00","316,20","158,10","0,50",Outlet,"5,75","0,79","0,97",California - San Francisco,California,November
West Gear,"1128299,00",2020-11-08,West,California,San Francisco,Men's Athletic Footwear,"50,00","362,50","72,50","0,20",Outlet,"7,25","0,91","0,45",California - San Francisco,California,November
West Gear,"1128299,00",2020-11-09,West,California,San Francisco,Women's Street Footwear,"50,00","362,50","126,90","0,35",Outlet,"7,25","0,91","0,78",California - San Francisco,California,November
West Gear,"1128299,00",2020-11-10,West,California,San Francisco,Women's Athletic Footwear,"50,00","287,50","86,20","0,30",Outlet,"5,75","0,72","0,53",California - San Francisco,California,November
West Gear,"1128299,00",2020-11-11,West,California,San Francisco,Men's Apparel,"55,00","275,00","137,50","0,50",Outlet,"5,00","0,69","0,85",California - San Francisco,California,November
West Gear,"1128299,00",2020-11-12,West,California,San Francisco,Women's Apparel,"50,00","350,00","52,50","0,15",Outlet,"7,00","0,88","0,32",California - San Francisco,California,November
West Gear,"1128299,00",2020-12-22,West,California,San Francisco,Women's Athletic Footwear,"60,00","360,00","108,00","0,30",Outlet,"6,00","0,90","0,66",California - San Francisco,California,December
West Gear,"1128299,00",2020-12-23,West,California,San Francisco,Men's Apparel,"65,00","325,00","162,50","0,50",Outlet,"5,00","0,81","1,00",California - San Francisco,California,December
West Gear,"1128299,00",2020-12-28,West,California,San Francisco,Women's Athletic Footwear,"60,00","375,00","112,50","0,30",Outlet,"6,25","0,94","0,69",California - San Francisco,California,December
West Gear,"1128299,00",2021-01-03,West,California,San Francisco,Women's Athletic Footwear,"60,00","390,00","136,50","0,35",Outlet,"6,50","0,98","0,84",California - San Francisco,California,January
West Gear,"1128299,00",2021-01-27,West,California,San Francisco,Women's Athletic Footwear,"55,00","398,80","99,70","0,25",Outlet,"7,25","1,00","0,61",California - San Francisco,California,January
West Gear,"1128299,00",2021-02-01,West,California,San Francisco,Women's Street Footwear,"55,00","385,00","115,50","0,30",Outlet,"7,00","0,97","0,71",California - San Francisco,California,February
West Gear,"1128299,00",2021-02-02,West,California,San Francisco,Women's Athletic Footwear,"55,00","371,20","92,80","0,25",Outlet,"6,75","0,93","0,57",California - San Francisco,California,February
West Gear,"1128299,00",2021-02-07,West,California,San Francisco,Women's Street Footwear,"55,00","398,80","119,60","0,30",Outlet,"7,25","1,00","0,74",California - San Francisco,California,February
West Gear,"1128299,00",2021-02-08,West,California,San Francisco,Women's Athletic Footwear,"55,00","385,00","96,20","0,25",Outlet,"7,00","0,97","0,59",California - San Francisco,California,February
Kohl's,"1189833,00",2021-02-17,West,California,San Francisco,Men's Street Footwear,"35,00","245,00","98,00","0,40",Outlet,"7,00","0,61","0,60",California - San Francisco,California,February
Kohl's,"1189833,00",2021-02-18,West,California,San Francisco,Men's Athletic Footwear,"45,00","315,00","78,80","0,25",Outlet,"7,00","0,79","0,48",California - San Francisco,California,February
Kohl's,"1189833,00",2021-03-09,West,California,San Francisco,Women's Street Footwear,"45,00","315,00","126,00","0,40",Outlet,"7,00","0,79","0,78",California - San Francisco,California,March
Kohl's,"1189833,00",2021-03-10,West,California,San Francisco,Women's Athletic Footwear,"45,00","247,50","86,60","0,35",Outlet,"5,50","0,62","0,53",California - San Francisco,California,March
Kohl's,"1189833,00",2021-03-11,West,California,Los Angeles,Men's Apparel,"50,00","250,00","137,50","0,55",Outlet,"5,00","0,63","0,85",California - Los Angeles,California,March
Kohl's,"1189833,00",2021-03-12,West,California,Los Angeles,Women's Apparel,"45,00","315,00","63,00","0,20",Outlet,"7,00","0,79","0,39",California - Los Angeles,California,March
Kohl's,"1189833,00",2021-03-14,West,California,Los Angeles,Men's Athletic Footwear,"45,00","292,50","73,10","0,25",Outlet,"6,50","0,73","0,45",California - Los Angeles,California,March
Kohl's,"1189833,00",2021-03-15,West,California,Los Angeles,Women's Street Footwear,"45,00","303,80","121,50","0,40",Outlet,"6,75","0,76","0,75",California - Los Angeles,California,March
Kohl's,"1189833,00",2021-03-16,West,California,Los Angeles,Women's Athletic Footwear,"45,00","236,20","82,70","0,35",Outlet,"5,25","0,59","0,51",California - Los Angeles,California,March
Kohl's,"1189833,00",2021-03-17,West,California,Los Angeles,Men's Apparel,"50,00","225,00","123,80","0,55",Outlet,"4,50","0,56","0,76",California - Los Angeles,California,March
Kohl's,"1189833,00",2021-03-18,West,California,Los Angeles,Women's Apparel,"45,00","292,50","58,50","0,20",Outlet,"6,50","0,73","0,36",California - Los Angeles,California,March
Kohl's,"1189833,00",2021-03-20,West,California,Los Angeles,Men's Athletic Footwear,"45,00","292,50","73,10","0,25",Outlet,"6,50","0,73","0,45",California - Los Angeles,California,March
Kohl's,"1189833,00",2021-03-21,West,California,Los Angeles,Women's Street Footwear,"45,00","292,50","117,00","0,40",Outlet,"6,50","0,73","0,72",California - Los Angeles,California,March
Kohl's,"1189833,00",2021-03-22,West,California,Los Angeles,Women's Athletic Footwear,"45,00","247,50","86,60","0,35",Outlet,"5,50","0,62","0,53",California - Los Angeles,California,March
Kohl's,"1189833,00",2021-03-23,West,California,Los Angeles,Men's Apparel,"50,00","212,50","116,90","0,55",Outlet,"4,25","0,53","0,72",California - Los Angeles,California,March
Kohl's,"1189833,00",2021-04-06,West,California,Los Angeles,Women's Apparel,"45,00","281,20","56,20","0,20",Outlet,"6,25","0,71","0,35",California - Los Angeles,California,April
Kohl's,"1189833,00",2021-04-08,West,California,Los Angeles,Men's Athletic Footwear,"50,00","300,00","75,00","0,25",Outlet,"6,00","0,75","0,46",California - Los Angeles,California,April
Kohl's,"1189833,00",2021-04-09,West,California,Los Angeles,Women's Street Footwear,"50,00","312,50","125,00","0,40",Outlet,"6,25","0,78","0,77",California - Los Angeles,California,April
Kohl's,"1189833,00",2021-04-10,West,California,Los Angeles,Women's Athletic Footwear,"45,00","236,20","82,70","0,35",Outlet,"5,25","0,59","0,51",California - Los Angeles,California,April
Kohl's,"1189833,00",2021-04-11,West,California,Los Angeles,Men's Apparel,"50,00","212,50","116,90","0,55",Outlet,"4,25","0,53","0,72",California - Los Angeles,California,April
Kohl's,"1189833,00",2021-04-12,West,California,Los Angeles,Women's Apparel,"65,00","390,00","78,00","0,20",Outlet,"6,00","0,98","0,48",California - Los Angeles,California,April
Kohl's,"1189833,00",2021-04-14,West,California,Los Angeles,Men's Athletic Footwear,"50,00","325,00","81,20","0,25",Outlet,"6,50","0,81","0,50",California - Los Angeles,California,April
Kohl's,"1189833,00",2021-04-15,West,California,Los Angeles,Women's Street Footwear,"50,00","325,00","130,00","0,40",Outlet,"6,50","0,81","0,80",California - Los Angeles,California,April
Kohl's,"1189833,00",2021-04-16,West,California,Los Angeles,Women's Athletic Footwear,"45,00","247,50","86,60","0,35",Outlet,"5,50","0,62","0,53",California - Los Angeles,California,April
Kohl's,"1189833,00",2021-04-17,West,California,Los Angeles,Men's Apparel,"50,00","225,00","123,80","0,55",Outlet,"4,50","0,56","0,76",California - Los Angeles,California,April
Kohl's,"1189833,00",2021-04-22,West,California,Los Angeles,Women's Athletic Footwear,"45,00","281,20","98,40","0,35",Outlet,"6,25","0,71","0,61",California - Los Angeles,California,April
Kohl's,"1189833,00",2021-04-23,West,California,Los Angeles,Men's Apparel,"50,00","250,00","137,50","0,55",Outlet,"5,00","0,63","0,85",California - Los Angeles,California,April
Kohl's,"1189833,00",2021-04-28,West,California,Los Angeles,Women's Athletic Footwear,"45,00","292,50","102,40","0,35",Outlet,"6,50","0,73","0,63",California - Los Angeles,California,April
Kohl's,"1189833,00",2021-05-03,West,California,Los Angeles,Women's Street Footwear,"50,00","362,50","145,00","0,40",Outlet,"7,25","0,91","0,89",California - Los Angeles,California,May
Kohl's,"1189833,00",2021-05-04,West,California,Los Angeles,Women's Athletic Footwear,"50,00","337,50","118,10","0,35",Outlet,"6,75","0,85","0,73",California - Los Angeles,California,May
Kohl's,"1189833,00",2021-05-09,West,California,Los Angeles,Women's Street Footwear,"50,00","350,00","140,00","0,40",Outlet,"7,00","0,88","0,86",California - Los Angeles,California,May
Kohl's,"1189833,00",2021-05-10,West,California,Los Angeles,Women's Athletic Footwear,"50,00","325,00","113,80","0,35",Outlet,"6,50","0,81","0,70",California - Los Angeles,California,May
Kohl's,"1189833,00",2021-05-15,West,California,Los Angeles,Women's Street Footwear,"50,00","325,00","130,00","0,40",Outlet,"6,50","0,81","0,80",California - Los Angeles,California,May
Kohl's,"1189833,00",2021-05-16,West,California,Los Angeles,Women's Athletic Footwear,"50,00","312,50","109,40","0,35",Outlet,"6,25","0,78","0,67",California - Los Angeles,California,May
Kohl's,"1189833,00",2021-05-21,West,California,Los Angeles,Women's Street Footwear,"50,00","337,50","135,00","0,40",Outlet,"6,75","0,85","0,83",California - Los Angeles,California,May
Kohl's,"1189833,00",2021-05-22,West,California,Los Angeles,Women's Athletic Footwear,"50,00","325,00","113,80","0,35",Outlet,"6,50","0,81","0,70",California - Los Angeles,California,May
Kohl's,"1189833,00",2021-05-27,West,California,Los Angeles,Women's Street Footwear,"50,00","350,00","140,00","0,40",Outlet,"7,00","0,88","0,86",California - Los Angeles,California,May
Kohl's,"1189833,00",2021-05-28,West,California,Los Angeles,Women's Athletic Footwear,"50,00","350,00","122,50","0,35",Outlet,"7,00","0,88","0,75",California - Los Angeles,California,May
Foot Locker,"1185732,00",2021-05-31,West,California,Los Angeles,Men's Street Footwear,"45,00","213,80","85,50","0,40",Outlet,"4,75","0,54","0,53",California - Los Angeles,California,May
Foot Locker,"1185732,00",2021-06-01,West,California,Los Angeles,Men's Athletic Footwear,"45,00","123,80","43,30","0,35",Outlet,"2,75","0,31","0,27",California - Los Angeles,California,June
Foot Locker,"1185732,00",2021-06-02,West,California,Los Angeles,Women's Street Footwear,"35,00","96,20","33,70","0,35",Outlet,"2,75","0,24","0,21",California - Los Angeles,California,June
Foot Locker,"1185732,00",2021-06-03,West,California,Los Angeles,Women's Athletic Footwear,"40,00","50,00","20,00","0,40",Outlet,"1,25","0,13","0,12",California - Los Angeles,California,June
Foot Locker,"1185732,00",2021-06-04,Midwest,Illinois,Chicago,Men's Apparel,"55,00","96,20","33,70","0,35",Outlet,"1,75","0,24","0,21",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-05,Midwest,Illinois,Chicago,Women's Apparel,"45,00","123,80","61,90","0,50",Outlet,"2,75","0,31","0,38",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-06,Midwest,Illinois,Chicago,Men's Street Footwear,"45,00","236,20","94,50","0,40",Outlet,"5,25","0,59","0,58",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-07,Midwest,Illinois,Chicago,Men's Athletic Footwear,"45,00","78,80","27,60","0,35",Outlet,"1,75","0,20","0,17",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-08,Midwest,Illinois,Chicago,Women's Street Footwear,"35,00","78,80","27,60","0,35",Outlet,"2,25","0,20","0,17",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-09,Midwest,Illinois,Chicago,Women's Athletic Footwear,"40,00","40,00","16,00","0,40",Outlet,"1,00","0,10","0,10",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-10,Midwest,Illinois,Chicago,Men's Apparel,"55,00","96,20","33,70","0,35",Outlet,"1,75","0,24","0,21",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-11,Midwest,Illinois,Chicago,Women's Apparel,"45,00","123,80","61,90","0,50",Outlet,"2,75","0,31","0,38",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-12,Midwest,Illinois,Chicago,Men's Street Footwear,"50,00","247,50","99,00","0,40",Outlet,"4,95","0,62","0,61",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-13,Midwest,Illinois,Chicago,Men's Athletic Footwear,"50,00","100,00","35,00","0,35",Outlet,"2,00","0,25","0,22",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-14,Midwest,Illinois,Chicago,Women's Street Footwear,"40,00","90,00","31,50","0,35",Outlet,"2,25","0,23","0,19",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-15,Midwest,Illinois,Chicago,Women's Athletic Footwear,"45,00","33,80","13,50","0,40",Outlet,"0,75","0,08","0,08",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-16,Midwest,Illinois,Chicago,Men's Apparel,"60,00","75,00","26,20","0,35",Outlet,"1,25","0,19","0,16",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-17,Midwest,Illinois,Chicago,Women's Apparel,"50,00","112,50","56,20","0,50",Outlet,"2,25","0,28","0,35",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-18,Midwest,Illinois,Chicago,Men's Street Footwear,"50,00","225,00","90,00","0,40",Outlet,"4,50","0,56","0,55",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-19,Midwest,Illinois,Chicago,Men's Athletic Footwear,"50,00","75,00","26,20","0,35",Outlet,"1,50","0,19","0,16",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-20,Midwest,Illinois,Chicago,Women's Street Footwear,"40,00","60,00","21,00","0,35",Outlet,"1,50","0,15","0,13",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-21,Midwest,Illinois,Chicago,Women's Athletic Footwear,"45,00","33,80","13,50","0,40",Outlet,"0,75","0,08","0,08",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-22,Midwest,Illinois,Chicago,Men's Apparel,"60,00","60,00","21,00","0,35",Outlet,"1,00","0,15","0,13",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-23,Midwest,Illinois,Chicago,Women's Apparel,"50,00","112,50","56,20","0,50",Outlet,"2,25","0,28","0,35",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-24,Midwest,Illinois,Chicago,Men's Street Footwear,"60,00","297,00","118,80","0,40",Outlet,"4,95","0,74","0,73",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-25,Midwest,Illinois,Chicago,Men's Athletic Footwear,"55,00","110,00","38,50","0,35",Outlet,"2,00","0,28","0,24",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-26,Midwest,Illinois,Chicago,Women's Street Footwear,"50,00","87,50","30,60","0,35",Outlet,"1,75","0,22","0,19",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-27,Midwest,Illinois,Chicago,Women's Athletic Footwear,"50,00","50,00","20,00","0,40",Outlet,"1,00","0,13","0,12",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-28,Midwest,Illinois,Chicago,Men's Apparel,"60,00","75,00","26,20","0,35",Outlet,"1,25","0,19","0,16",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-29,Midwest,Illinois,Chicago,Women's Apparel,"65,00","162,50","81,20","0,50",Outlet,"2,50","0,41","0,50",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-06-30,Midwest,Illinois,Chicago,Men's Street Footwear,"50,00","250,00","100,00","0,40",Outlet,"5,00","0,63","0,62",Illinois - Chicago,Otros,June
Foot Locker,"1185732,00",2021-07-01,Midwest,Illinois,Chicago,Men's Athletic Footwear,"45,00","112,50","39,40","0,35",Outlet,"2,50","0,28","0,24",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-02,Midwest,Illinois,Chicago,Women's Street Footwear,"40,00","80,00","28,00","0,35",Outlet,"2,00","0,20","0,17",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-03,Midwest,Illinois,Chicago,Women's Athletic Footwear,"40,00","70,00","28,00","0,40",Outlet,"1,75","0,18","0,17",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-04,Midwest,Illinois,Chicago,Men's Apparel,"50,00","87,50","30,60","0,35",Outlet,"1,75","0,22","0,19",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-05,Midwest,Illinois,Chicago,Women's Apparel,"55,00","192,50","96,20","0,50",Outlet,"3,50","0,48","0,59",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-06,Midwest,Illinois,Chicago,Men's Street Footwear,"50,00","287,50","115,00","0,40",Outlet,"5,75","0,72","0,71",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-07,Midwest,Illinois,Chicago,Men's Athletic Footwear,"45,00","146,20","51,20","0,35",Outlet,"3,25","0,37","0,32",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-08,Midwest,Illinois,Chicago,Women's Street Footwear,"40,00","100,00","35,00","0,35",Outlet,"2,50","0,25","0,22",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-09,Midwest,Illinois,Chicago,Women's Athletic Footwear,"40,00","80,00","32,00","0,40",Outlet,"2,00","0,20","0,20",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-10,Midwest,Illinois,Chicago,Men's Apparel,"50,00","112,50","39,40","0,35",Outlet,"2,25","0,28","0,24",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-11,Midwest,Illinois,Chicago,Women's Apparel,"55,00","220,00","110,00","0,50",Outlet,"4,00","0,55","0,68",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-12,Midwest,Illinois,Chicago,Men's Street Footwear,"50,00","275,00","110,00","0,40",Outlet,"5,50","0,69","0,68",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-13,Midwest,Illinois,Chicago,Men's Athletic Footwear,"45,00","146,20","51,20","0,35",Outlet,"3,25","0,37","0,32",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-14,Midwest,Illinois,Chicago,Women's Street Footwear,"40,00","100,00","35,00","0,35",Outlet,"2,50","0,25","0,22",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-15,Midwest,Illinois,Chicago,Women's Athletic Footwear,"40,00","90,00","36,00","0,40",Outlet,"2,25","0,23","0,22",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-16,Midwest,Illinois,Chicago,Men's Apparel,"50,00","100,00","35,00","0,35",Outlet,"2,00","0,25","0,22",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-17,Midwest,Illinois,Chicago,Women's Apparel,"55,00","206,20","103,10","0,50",Outlet,"3,75","0,52","0,63",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-18,Midwest,Illinois,Chicago,Men's Street Footwear,"50,00","250,00","100,00","0,40",Outlet,"5,00","0,63","0,62",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-19,Midwest,Illinois,Chicago,Men's Athletic Footwear,"45,00","135,00","47,20","0,35",Outlet,"3,00","0,34","0,29",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-20,Midwest,Illinois,Chicago,Women's Street Footwear,"40,00","80,00","28,00","0,35",Outlet,"2,00","0,20","0,17",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-21,Midwest,Illinois,Chicago,Women's Athletic Footwear,"40,00","70,00","28,00","0,40",Outlet,"1,75","0,18","0,17",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-22,Midwest,Illinois,Chicago,Men's Apparel,"50,00","87,50","30,60","0,35",Outlet,"1,75","0,22","0,19",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-23,Midwest,Illinois,Chicago,Women's Apparel,"55,00","137,50","68,80","0,50",Outlet,"2,50","0,34","0,42",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-24,Midwest,Illinois,Chicago,Men's Street Footwear,"60,00","255,00","102,00","0,40",Outlet,"4,25","0,64","0,63",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-25,Midwest,Illinois,Chicago,Men's Athletic Footwear,"50,00","125,00","43,80","0,35",Outlet,"2,50","0,31","0,27",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-26,Midwest,Illinois,Chicago,Women's Street Footwear,"50,00","75,00","26,20","0,35",Outlet,"1,50","0,19","0,16",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-27,Midwest,Illinois,Chicago,Women's Athletic Footwear,"50,00","62,50","25,00","0,40",Outlet,"1,25","0,16","0,15",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-28,Midwest,Illinois,Chicago,Men's Apparel,"60,00","75,00","26,20","0,35",Outlet,"1,25","0,19","0,16",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-29,Midwest,Illinois,Chicago,Women's Apparel,"65,00","162,50","81,20","0,50",Outlet,"2,50","0,41","0,50",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-30,Midwest,Illinois,Chicago,Men's Street Footwear,"60,00","240,00","96,00","0,40",Outlet,"4,00","0,60","0,59",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-07-31,Midwest,Illinois,Chicago,Men's Athletic Footwear,"50,00","125,00","43,80","0,35",Outlet,"2,50","0,31","0,27",Illinois - Chicago,Otros,July
Foot Locker,"1185732,00",2021-08-01,Midwest,Illinois,Chicago,Women's Street Footwear,"50,00","97,50","34,10","0,35",Outlet,"1,95","0,24","0,21",Illinois - Chicago,Otros,August
Foot Locker,"1185732,00",2021-08-02,Midwest,Illinois,Chicago,Women's Athletic Footwear,"50,00","87,50","35,00","0,40",Outlet,"1,75","0,22","0,22",Illinois - Chicago,Otros,August
Foot Locker,"1185732,00",2021-08-03,Midwest,Illinois,Chicago,Men's Apparel,"60,00","90,00","31,50","0,35",Outlet,"1,50","0,23","0,19",Illinois - Chicago,Otros,August
